category,text,urgency
JARINGAN_IT,"jangkauan wifi auditorium terbatas bgt, gabisa akses spada",RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disebarkan merata, mhs jadi kesal",TINGGI
FASILITAS,"kursi dan ac di ruangan kurang bagus, apalagi kursinya masih kursi lama dan sudah tidak layak di gunakan, ac nya jga udah gak optimal apalagi kalau siang hari",RENDAH
AKADEMIK,"spada gabisa diakses, susah akses materi kls",RENDAH
KEMAHASISWAAN,"pengurusan ktm makan waktu berhari-hari, bgt tidak efisien",RENDAH
LAINNYA,"kebersihan area kantin kumuh, bisa jadi sumber penyakit",RENDAH
KEMAHASISWAAN,"fasilitas lapangan olahraga tidak memadai, banyak yang tidak terlayani",RENDAH
JARINGAN_IT,"wifi gedung a lantai 3 bapuk ga stabil, susah download materi kls",TINGGI
FASILITAS,"fasilitas gedung c sudah bgt ketinggalan, kami sudah bayar ukt tepat waktu",TINGGI
KEMAHASISWAAN,"pengurusan ktm butuh bgt lama, bgt lama",RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs gaada pengumuman resmi, banyak yang ketinggalan",RENDAH
JARINGAN_IT,server siakad overload waktu deadline tugas,KRITIS
KEMAHASISWAAN,"staff hima tidak responsif, malas mengurus keperluan ke sana",RENDAH
FASILITAS,"tangga gedung rektorat beberapa anak tangganya ancur, sering ada yang jatuh",SEDANG
LAINNYA,"kebersihan sekitar parkiran kumuh, tidak nyaman untuk beraktivitas",RENDAH
JARINGAN_IT,"sinyal di gedung fh gabisa untuk data seluler, kls online jadi terganggu",RENDAH
KEUANGAN,"prosedur administrasi keuangan tidak transparan, mhs urgent kesusahan",RENDAH
FASILITAS,"fasilitas perpus pusat tidak memadai, masa bayar ukt tapi fasilitas gini",TINGGI
JARINGAN_IT,wifi kampus kayak tidak dibayar apalagi kalau semua mhs pakai,RENDAH
FASILITAS,"wc fakultas teknik jorok bgt, mhs jadi susah kalau kebelet",RENDAH
LAINNYA,"lingkungan sekitar gedung fh bising dari luar kampus, panas bgt siang hari",RENDAH
LAINNYA,"lingkungan sekitar gedung fh bising dari luar kampus, tidak mendukung kreativitas mhs",RENDAH
JARINGAN_IT,"jaringan di gedung d sering putus-putus, susah akses internet",RENDAH
KEMAHASISWAAN,"fasilitas sekretariat bem tidak layak, mhs jadi kesal",RENDAH
FASILITAS,"remot ac fakultas hukum cuma 1 untuk 3 lantai, susah hidupinnya",RENDAH
AKADEMIK,"spada lemot parah, susah ikut kuis",SEDANG
FASILITAS,"banyak kursi di lab komputer yang sudah tidak layak pakai, gabisa fokus",RENDAH
JARINGAN_IT,spada down terus saat pagi hari,TINGGI
FASILITAS,"parkiran gedung fisip gada atapnya, kendaraan bisa jok panas bgt",RENDAH
FASILITAS,"fasilitas fakultas hukum jauh dari kata layak, ukt mahal tapi fasilitas tidak sesuai",TINGGI
FASILITAS,"min, parkiran gedung b lantai 2 banyak yang parkir sembarangan tolong diatur lebih baik",RENDAH
LAINNYA,"area taman kampus panas tidak teduh, tidak nyaman buat mhs",RENDAH
KEUANGAN,"dana kkn tidak cair tepat waktu, mhs dirugikan",RENDAH
FASILITAS,"kebersihan gedung b lantai 2 jarang dibersihkan, tidak nyaman berada di sini",RENDAH
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu bagaimana seleksinya",RENDAH
AKADEMIK,"website spada ui outdated bgt tidak user friendly, susah menavigasi dan membingungkan untuk memasuki kelas",SEDANG
JARINGAN_IT,"jaringan di prodi informatika bgt buruk, susah akses internet",SEDANG
JARINGAN_IT,wifi kampus sering disconnect apalagi kalau banyak yang konek,RENDAH
JARINGAN_IT,"jangkauan wifi gedung c hanya di spot tertentu, harus geser-geser cari sinyal",RENDAH
FASILITAS,"colokan di ruangan 3.2 tidak berfungsi, padahal butuh buat ngecas",RENDAH
AKADEMIK,"krs gabisa diakses saat masa pengisian, mhs dirugikan",TINGGI
KEUANGAN,"pengumuman perubahan biaya hanya dari mulut ke mulut, mhs kaget",RENDAH
KEUANGAN,"ukt prosedur keringanan susah, tapi fasilitasnya jauh dari layak",TINGGI
FASILITAS,"gaada ruang istirahat di gedung fisip, padahal bgt dibutuhkan",RENDAH
LAINNYA,"lingkungan sekitar gedung c gersang gaada pohon, tidak nyaman aktivitas luar",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan hanya di grup tertentu, banyak yang ketinggalan",RENDAH
FASILITAS,"parkiran gedung d gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
KEMAHASISWAAN,"informasi prosedur pengajuan surat hanya di grup tertentu, mhs banyak yang tidak tahu",RENDAH
FASILITAS,"wc gedung a lantai 3 airnya tidak mengalir sudah lama bgt, jadi malas kls",RENDAH
AKADEMIK,"ada dosen yang pilih kasih dalam penilaian, itu tidak profesional",RENDAH
JARINGAN_IT,"jaringan di gedung b lantai 3 sering putus-putus, susah akses internet",RENDAH
LAINNYA,"atm/ bank kampus gaada di dalam kampus, tidak praktis",RENDAH
KEUANGAN,"informasi beasiswa tidak disosialisasikan dengan baik, hanya orang tertentu yang tahu",TINGGI
JARINGAN_IT,internet di ruang seminar sering putus padahal butuh buat kumpul tugas,RENDAH
AKADEMIK,"jadwal syarat wisuda tidak sampai ke semua mhs, banyak mhs yang tidak tahu",TINGGI
LAINNYA,"lapangan futsal tidak terawat, lapangan gabisa dimanfaatkan optimal",TINGGI
JARINGAN_IT,"server spada gabisa diakses pas masa uts, terpaksa pakai kuota sendiri",KRITIS
FASILITAS,"ac prodi matematika cuma pajangan, netes airnya padahal ukt mahal tapi fasilitas tidak sesuai",TINGGI
JARINGAN_IT,"internet di prodi akuntansi sering putus, gabisa kumpul tugas online",RENDAH
FASILITAS,"fasilitas di lab sudah beberapa yang harus diganti, kursi sudah hilang beberapa rodanya, ac sudah tidak dingin.",RENDAH
FASILITAS,"kebersihan gedung fisip jarang dibersihkan, tidak nyaman berada di sini",RENDAH
FASILITAS,"wc prodi akuntansi airnya tidak mengalir dari kemarin, bgt mengganggu aktivitas",RENDAH
LAINNYA,"keamanan area kampus malam hari sering ada kehilangan barang, orang luar bebas masuk",RENDAH
AKADEMIK,"informasi syarat wisuda hanya dari mulut ke mulut, proses jadi terlelet",TINGGI
JARINGAN_IT,koneksi di lab komputer putus-putus saat masa uas,TINGGI
AKADEMIK,"jadwal prosedur skripsi tidak sampai ke semua mhs, banyak mhs yang tidak tahu",TINGGI
FASILITAS,"fasilitas gedung fisip tidak memadai, padahal kita sudah bayar ukt",TINGGI
JARINGAN_IT,"internet di lab komputer gabisa diandalkan, gabisa kumpul tugas online",RENDAH
KEMAHASISWAAN,"senioritas di fakultas masih membuat tidak nyaman, mhs baru jadi tertekan",RENDAH
JARINGAN_IT,"internet di fakultas hukum lemot parah, terpaksa pakai kuota sendiri",SEDANG
KEMAHASISWAAN,"layanan bagian kemhsan sering tutup, mhs jadi kesal",RENDAH
LAINNYA,"area area belajar outdoor kotor dan tidak terawat, kurang nyaman buat mhs",SEDANG
FASILITAS,"parkiran gedung b lantai 3 gada atapnya, kendaraan bisa jok panas bgt",RENDAH
FASILITAS,"tolong ac gedung mipa segera diperbaiki, netes airnya dan badan rasanya mau pingsan",RENDAH
FASILITAS,"parkiran gedung a lantai 1 gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
FASILITAS,"min, gedung bersama di fisip udah ada kipasnya, tpi ga bisa ngilangin kegerahan kalau siang hari, soalnya kipasnya cuma 1. wi-fi? ga ada, jadi kalau nunggu dosen bosan bgt, gatau mau ngapain",RENDAH
FASILITAS,"plafon ruangan 1.2 sudah retak, khawatir mhs tidak nyaman",RENDAH
AKADEMIK,"sistem portal mhs ui-nya bgt tidak user-friendly, tugas jadi terlelet dikumpulkan",SEDANG
JARINGAN_IT,"wifi fakultas ekonomi lemot parah, terpaksa pakai kuota sendiri",SEDANG
KEUANGAN,"pengumuman deadline pembayaran ukt mendadak bgt, mhs kaget",KRITIS
AKADEMIK,"informasi syarat wisuda tidak diinformasikan jelas, proses jadi terlelet",TINGGI
FASILITAS,"min, wc di fakultas teknik kondisinya airnya mati, tolong segera diperbaiki",SEDANG
KEMAHASISWAAN,"info lowongan magang cuma nyebar di grup tertentu, yang lain tidak tahu",RENDAH
KEUANGAN,"pembayaran biaya wisuda terjadi kesalahan administrasi, mhs jadi bingung",TINGGI
JARINGAN_IT,"jaringan di fakultas ekonomi bapuk ga stabil, susah akses internet",RENDAH
KEMAHASISWAAN,"fasilitas sekretariat bem tidak layak, proses administrasi terhambat",RENDAH
JARINGAN_IT,spada lemot bgt saat pagi hari,SEDANG
JARINGAN_IT,"jaringan di gedung d bgt buruk, susah akses internet",RENDAH
JARINGAN_IT,"jangkauan wifi lab biologi hanya di spot tertentu, tidak produktif di kampus",TINGGI
JARINGAN_IT,"sinyal di gedung fisip hilang timbul, gabisa upload tugas",RENDAH
AKADEMIK,"website siakad lemot bgt, tugas jadi terlelet dikumpulkan",SEDANG
FASILITAS,"ac auditorium cuma pajangan, cuma pajangan padahal ukt mahal tapi fasilitas tidak sesuai",TINGGI
LAINNYA,"gaada wifi outdoor di area kampus, padahal bgt dibutuhkan",RENDAH
AKADEMIK,"revisi skripsi bimbingannya tidak terjadwal, mhs dirugikan",TINGGI
KEMAHASISWAAN,"senioritas di lingkungan kampus tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
FASILITAS,"plafon lab botani sudah retak, khawatir celaka kalau tiba-tiba jatuh",RENDAH
JARINGAN_IT,"server sistem informasi kampus overload pas masa uts, gabisa akses spada",KRITIS
JARINGAN_IT,"bandwidth wifi kampus bgt terbatas, gabisa kumpul tugas online",RENDAH
LAINNYA,"lapangan badminton bayar 10 ribu padahal mhs uho, mhs gabisa olahraga gratis",RENDAH
AKADEMIK,"bahan ajar tidak diberikan oleh dosen, gabisa fokus",RENDAH
FASILITAS,lahan parkir di lab kimia gaada petugas jadi sering telat kls,RENDAH
KEUANGAN,"pengumuman syarat keringanan ukt tidak diinformasikan jelas, mhs kaget",TINGGI
FASILITAS,"colokan di ruang kls lantai 2 longgar, padahal butuh buat ngecas",RENDAH
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu bagaimana seleksinya",TINGGI
KEMAHASISWAAN,"kegiatan program mentoring tidak terorganisir, mhs jadi tidak antusias",TINGGI
KEUANGAN,"transparansi anggaran kegiatan mhs kurang, mhs tidak tahu bagaimana seleksinya",RENDAH
AKADEMIK,"sistem portal mhs ui-nya terlalu ribet, proses akademik terhambat",RENDAH
FASILITAS,"plafon ruangan 1.2 sudah retak, khawatir celaka kalau tiba-tiba jatuh",RENDAH
FASILITAS,"tolong ac fakultas ekonomi segera diperbaiki, tidak berfungsi dan gerah minta ampun",RENDAH
LAINNYA,"kantin belakang gedung b jamnya terlalu singkat, terpaksa keluar kampus",RENDAH
JARINGAN_IT,"jaringan di gedung b lantai 1 bgt buruk, susah akses internet",RENDAH
AKADEMIK,"siakad gabisa diakses saat jam kls, mhs rugi bgt",RENDAH
AKADEMIK,"ada dosen yang menjual buku wajib beli ke mhs, itu tidak profesional",RENDAH
LAINNYA,"lapangan basket dikenakan biaya masuk yang tidak semestinya, lapangan gabisa dimanfaatkan optimal",RENDAH
AKADEMIK,"nilai di portal gaada penjelasan, mhs jadi bingung",SEDANG
KEMAHASISWAAN,"kegiatan kegiatan sosial kampus waktunya tidak pas, banyak yang tidak terlayani",RENDAH
LAINNYA,"jalan di area antar gedung ancur parah berlubang-lubang, banjir waktu hujan",SEDANG
JARINGAN_IT,"jaringan di gedung rektorat gabisa diandalkan, susah akses internet",RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan lulus butuh lebih dari 2 minggu, bgt lama",RENDAH
JARINGAN_IT,"jangkauan wifi gedung fisip hanya di spot tertentu, kls online terganggu",RENDAH
LAINNYA,"keamanan gedung saat weekend kurang terjaga, tidak kondusif untuk kegiatan malam",RENDAH
LAINNYA,"kebersihan koridor gedung jarang dibersihkan, bisa jadi sumber penyakit",RENDAH
AKADEMIK,"sistem sistem krs ui-nya outdated, belajar jadi terganggu",TINGGI
FASILITAS,lahan parkir di fakultas teknik tidak muat jadi sering telat kls,RENDAH
FASILITAS,"musola di perpus pusat tidak terawat, tolong diperhatikan",RENDAH
JARINGAN_IT,internet di ruang seminar lemot parah padahal butuh buat akses jurnal,SEDANG
LAINNYA,"area taman kampus kotor dan tidak terawat, kurang nyaman buat mhs",SEDANG
KEUANGAN,"prosedur pengajuan keringanan ukt tidak transparan, prosesnya bgt lama",TINGGI
AKADEMIK,"krs gabisa diakses saat masa pengisian, banyak yang ketinggalan informasi",TINGGI
KEUANGAN,biaya wisuda terlalu mahal dan prosedurnya tidak transparan,TINGGI
AKADEMIK,"informasi syarat wisuda hanya dari mulut ke mulut, proses akademik jadi terlelet",TINGGI
JARINGAN_IT,server portal akademik bapuk ga stabil waktu deadline tugas,KRITIS
JARINGAN_IT,"bandwidth wifi kampus sering habis di jam sibuk, gabisa akses spada",RENDAH
JARINGAN_IT,koneksi di ruang seminar putus-putus saat jam kls,RENDAH
JARINGAN_IT,"internet di gedung mipa bapuk ga stabil, gabisa akses spada",RENDAH
LAINNYA,"area area belajar outdoor gaada tempat duduk, tidak nyaman buat mhs",RENDAH
KEMAHASISWAAN,"staff bagian kemhsan melayani dengan malas, tidak enak kalau harus ke sana",RENDAH
FASILITAS,"pipa saluran ac di ruang kls lantai 2 bocor, lantai jadi basah",RENDAH
AKADEMIK,"nilai tidak sesuai ekspektasi tanpa penjelasan, proses akademik jadi terlelet",SEDANG
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu apa saja biaya resmi",RENDAH
AKADEMIK,siakad sering eror parah waktu masa krs,TINGGI
KEUANGAN,"biaya seragam praktikum dibebankan ke mhs, seharusnya tidak",RENDAH
LAINNYA,"transportasi akses transportasi umum susah, tidak ramah lingkungan",RENDAH
FASILITAS,"lampu di lab komputer mipa kedap-kedip terus, ruangan jadi gelap",RENDAH
LAINNYA,"keamanan area parkir kurang terjaga, tidak kondusif untuk kegiatan malam",RENDAH
FASILITAS,"ac di ruang kls lantai 2 udah lama nda diperbaiki, gak optimal",RENDAH
FASILITAS,"kebersihan gedung b lantai 2 jarang dibersihkan, bisa jadi sumber penyakit",RENDAH
JARINGAN_IT,server sistem informasi kampus sering down waktu masa krs,TINGGI
KEUANGAN,"prosedur administrasi keuangan bgt rumit, menghambat akademik",RENDAH
KEMAHASISWAAN,"fasilitas ruang rapat mhs tidak layak, banyak yang tidak terlayani",RENDAH
KEUANGAN,"penggunaan dana praktikum tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
FASILITAS,"kamar mandi fakultas teknik cuma pajangan, jadi malas kls apalagi kalau kebelet",RENDAH
FASILITAS,"fasilitas gedung a lantai 1 jauh dari kata layak, padahal kita sudah bayar ukt",TINGGI
KEMAHASISWAAN,"fasilitas ruang ukm tidak memadai, banyak yang tidak terlayani",RENDAH
JARINGAN_IT,internet di lab komputer gabisa diandalkan padahal butuh buat akses jurnal,RENDAH
FASILITAS,lahan parkir di gedung b lantai 2 sempit bgt jadi sering telat kls,RENDAH
FASILITAS,"tolong ac gedung b lantai 2 segera diperbaiki, kurang dingin dan kita kepanasan parah",RENDAH
KEUANGAN,"prosedur administrasi keuangan tidak jelas alurnya, prosesnya bgt lama",RENDAH
KEUANGAN,beasiswa distribusinya tidak merata dan banyak mhs yang berhak tapi tidak dapat,TINGGI
AKADEMIK,"informasi prosedur skripsi mendadak, mhs dirugikan",TINGGI
JARINGAN_IT,"bandwidth wifi kampus tidak memadai, gabisa akses spada",RENDAH
AKADEMIK,"informasi prosedur skripsi tidak sampai ke semua mhs, mhs dirugikan",TINGGI
AKADEMIK,"spada sering down waktu masa krs, susah akses materi",TINGGI
AKADEMIK,"ruang kls proyektornya ancur, mhs jadi malas",SEDANG
KEUANGAN,"pembayaran biaya praktikum gabisa online, menghambat proses akademik",RENDAH
JARINGAN_IT,spada down terus saat saat banyak pengguna,TINGGI
LAINNYA,"keamanan area kampus malam gaada satpam, tidak kondusif malam hari",RENDAH
LAINNYA,"lingkungan sekitar prodi matematika kurang terawat, panas bgt siang hari",SEDANG
AKADEMIK,"informasi jadwal ujian tidak sampai ke semua mhs, mhs jadi bingung",TINGGI
LAINNYA,gerbang pintu masuk utama gaada sistem akses sehingga antrean panjang,SEDANG
FASILITAS,"wc gedung a lantai 3 airnya tidak mengalir sudah seminggu lebih, jadi malas kls",RENDAH
JARINGAN_IT,"jangkauan wifi gedung b lantai 3 hanya di spot tertentu, terpaksa pakai kuota sendiri",RENDAH
FASILITAS,"itu hee sudah bagus maunya ada tempat dudukÂ² di lantai atas sama lantai bawah, cuma kurang colokan beh, maunya bgus sekali kalau colokan nya ada",RENDAH
KEMAHASISWAAN,"info program beasiswa cuma nyebar di grup tertentu, yang lain tidak tahu",TINGGI
AKADEMIK,"jadwal jadwal ujian hanya dari mulut ke mulut, banyak mhs yang tidak tahu",TINGGI
FASILITAS,"parkiran prodi akuntansi gada atapnya, kendaraan bisa lecet-lecet",RENDAH
KEMAHASISWAAN,"layanan unit kemhsan jarang beroperasi, proses administrasi terhambat",RENDAH
KEMAHASISWAAN,"fasilitas sekretariat bem tidak memadai, banyak yang tidak terlayani",RENDAH
JARINGAN_IT,"wifi gedung b lantai 1 sering disconnect, terpaksa pakai kuota sendiri",RENDAH
FASILITAS,"wc fakultas hukum airnya tidak mengalir sudah lama bgt, terpaksa ke gedung lain yang jauh",RENDAH
KEMAHASISWAAN,"kegiatan seminar mhs tidak terorganisir, mhs jadi tidak antusias",TINGGI
LAINNYA,"keamanan gedung saat weekend gaada satpam, mhs tidak merasa aman",RENDAH
FASILITAS,"banyak kursi di gedung a lantai 1 yang ancur, mhs jadi malas masuk kls",SEDANG
AKADEMIK,"ruang kls terlalu sempit, mhs jadi malas masuk kls",RENDAH
KEUANGAN,"dana penelitian mhs tidak cair tepat waktu, mhs dirugikan",RENDAH
LAINNYA,gerbang pintu masuk utama gaada satpam sehingga antrean panjang,SEDANG
FASILITAS,lahan parkir di auditorium gaada petugas jadi sering telat kls,RENDAH
FASILITAS,"wc perpus pusat airnya tidak mengalir sudah seminggu lebih, terpaksa ke gedung lain yang jauh",RENDAH
AKADEMIK,"spada lemot parah waktu deadline tugas, susah ikut kuis",KRITIS
KEMAHASISWAAN,"program wirausaha mhs prosedur pendaftarannya ribet, mhs kurang diuntungkan",RENDAH
LAINNYA,"keamanan lingkungan sekitar kampus kurang terjaga, sering kehilangan barang",RENDAH
KEUANGAN,"transparansi anggaran kegiatan mhs bgt minim, mhs tidak tahu bagaimana seleksinya",RENDAH
FASILITAS,"ac cuma cuma 1 untuk seluruh gedung lantai, keringat terus padahal lagi kls",RENDAH
FASILITAS,kursinya kadang gaada mejanya min,RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan sudah melewati batas, membuat mhs baru tertekan",RENDAH
AKADEMIK,"gaada feedback nilai dari dosen, mhs jadi bingung",SEDANG
AKADEMIK,"informasi prosedur skripsi mendadak, stress bgt ngurusnya",TINGGI
AKADEMIK,"krs sering eror, mhs dirugikan",TINGGI
JARINGAN_IT,"jangkauan wifi gedung d tidak sampai ke semua ruangan, terpaksa pakai kuota sendiri",RENDAH
LAINNYA,"kebersihan taman kampus kumuh, baunya tidak enak",RENDAH
KEUANGAN,ada dosen yang menjual buku wajib dibeli yang tidak semestinya,RENDAH
JARINGAN_IT,"jangkauan wifi perpus tidak sampai semua ruangan, harus geser-geser cari sinyal",RENDAH
JARINGAN_IT,wifinya gabisa di gunakan sepertinya belum di bayar,RENDAH
AKADEMIK,"website portal mhs sering down, mhs rugi bgt",TINGGI
JARINGAN_IT,"sinyal di prodi informatika gabisa untuk data seluler, kls online jadi terganggu",SEDANG
LAINNYA,gerbang gerbang 3 gaada sistem akses sehingga antrean panjang,SEDANG
FASILITAS,"parkiran perpus pusat berantakan, kendaraan jadi susah keluar",RENDAH
FASILITAS,"parkiran fakultas ekonomi banyak yang parkir sembarangan, kendaraan jadi susah keluar",RENDAH
JARINGAN_IT,"sinyal di gedung b lantai 3 bgt lemah, harus keluar ruangan dulu",RENDAH
KEMAHASISWAAN,"organisasi gaada regenerasi yang baik, mhs jadi tidak berkembang",RENDAH
FASILITAS,"ac gedung a lantai 1 cuma pajangan, panasnya parah padahal kami sudah bayar ukt tepat waktu",TINGGI
KEUANGAN,ada pungutan di luar ketentuan yang memberatkan mhs,RENDAH
LAINNYA,"keamanan lingkungan sekitar kampus sering ada kehilangan barang, orang luar bebas masuk",RENDAH
FASILITAS,"wc auditorium gabisa dipakai, mhs jadi susah kalau kebelet",RENDAH
FASILITAS,"tolong ac lab komputer segera diperbaiki, mati total dan gerah minta ampun",KRITIS
AKADEMIK,"jadwal jadwal kls pengganti mendadak bgt, banyak mhs yang tidak tahu",RENDAH
JARINGAN_IT,"internet di gedung a lantai 3 lemot parah, tidak produktif di kampus",TINGGI
KEUANGAN,biaya parkir di area kampus seharusnya tidak dibebankan ke mhs,RENDAH
KEUANGAN,"pembayaran biaya kkn harus datang langsung berkali-kali, mhs jadi bingung",SEDANG
LAINNYA,"lingkungan sekitar gedung b lantai 2 minim fasilitas publik, tidak nyaman aktivitas luar",RENDAH
JARINGAN_IT,"min, jaringan nya kurang stabil kadang lancar kadang tidak",RENDAH
JARINGAN_IT,portal akademik timeout terus soalnya overload,RENDAH
KEMAHASISWAAN,unit kemhsan pelayanannya kurang saat mhs butuh bantuan,RENDAH
AKADEMIK,"krs gabisa tambah matkul, stress ngurusnya",TINGGI
LAINNYA,"area ruang tunggu panas dan tidak teduh, kurang nyaman buat mhs",RENDAH
LAINNYA,"kantin dekat gedung fisip jamnya terlalu singkat, mhs susah makan siang",RENDAH
KEMAHASISWAAN,gaada mentor atau pembimbing untuk mhs baru di himpunan,RENDAH
FASILITAS,"colokan di lab komputer mipa longgar, padahal butuh buat ngecas",RENDAH
JARINGAN_IT,"jangkauan wifi gedung d hanya di spot tertentu, kls online terganggu",RENDAH
AKADEMIK,"spada nge-lag waktu saat uas, susah download bahan ajar",KRITIS
AKADEMIK,"sistem web akademik terlalu ribet, mhs rugi bgt",RENDAH
FASILITAS,"ac di gedung b lantai 3 tidak berfungsi, jadi gerah minta ampun",RENDAH
KEMAHASISWAAN,"program pertukaran mhs prosedur pendaftarannya ribet, mhs kurang diuntungkan",RENDAH
FASILITAS,"parkiran gedung a lantai 2 gada atapnya, kendaraan bisa kepanasan",RENDAH
KEMAHASISWAAN,"senioritas di organisasi kampus tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
KEUANGAN,"pembayaran ukt harus datang langsung berkali-kali, mhs jadi bingung",TINGGI
JARINGAN_IT,"bandwidth wifi kampus tidak memadai, gabisa kumpul tugas online",RENDAH
JARINGAN_IT,"wifi prodi informatika sering disconnect, gabisa akses spada",SEDANG
JARINGAN_IT,koneksi di gedung a lantai 3 gabisa diandalkan padahal butuh buat kumpul tugas,RENDAH
KEMAHASISWAAN,"info kompetisi mhs cuma nyebar di grup tertentu, yang lain tidak tahu",RENDAH
AKADEMIK,"website portal mhs gabisa diakses, tugas jadi terlelet dikumpulkan",SEDANG
AKADEMIK,"website web akademik tidak user friendly, belajar jadi terganggu",RENDAH
KEUANGAN,"pengumuman perubahan biaya mendadak bgt, mhs jadi bingung",SEDANG
AKADEMIK,web akademik sering crash tiba-tiba waktu saat jam sibuk,RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan gaada pengumuman resmi, banyak yang terlewat informasinya",RENDAH
AKADEMIK,"bahan ajar tidak lengkap, nilai bisa jelek soalnya tidak konsen",RENDAH
LAINNYA,"jalan di dekat auditorium gaada penerangan malam, berbahaya buat motor",SEDANG
LAINNYA,"lingkungan sekitar fakultas ekonomi kurang terawat, tidak nyaman buat aktivitas luar",RENDAH
FASILITAS,"tolong ac gedung mipa segera diperbaiki, netes airnya dan gerah minta ampun",RENDAH
KEMAHASISWAAN,"pengurusan surat izin kegiatan butuh lebih dari 2 minggu, bgt lama",RENDAH
AKADEMIK,"website siakad lemot bgt, belajar jadi terganggu",SEDANG
LAINNYA,"atm/ bank kampus sering kosong uangnya, mhs harus keluar kampus untuk ke atm",RENDAH
FASILITAS,"banyak kursi di gedung c yang banyak yang hilang, susah konsen belajar",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan bgt kurang, banyak yang terlewat informasinya",RENDAH
KEUANGAN,"dana kkn prosesnya berbelit-belit, mhs dirugikan",RENDAH
LAINNYA,"pintu masuk utama gaada sistem akses, tidak aman",RENDAH
LAINNYA,"lingkungan sekitar fakultas hukum gersang gaada pohon teduh, tidak nyaman buat aktivitas luar",RENDAH
JARINGAN_IT,"koneksi internet gedung c gabisa diandalkan, gabisa akses spada",RENDAH
LAINNYA,"lapangan voli tidak terawat, mhs gabisa olahraga gratis",RENDAH
JARINGAN_IT,server portal akademik gabisa diakses waktu masa krs,TINGGI
FASILITAS,"min, wc di auditorium kondisinya cuma pajangan, tolong segera diperbaiki",RENDAH
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet lab komputer nge-lag,RENDAH
KEMAHASISWAAN,"pengurusan dokumen beasiswa makan waktu berminggu-minggu, bgt tidak efisien",TINGGI
LAINNYA,"kantin dekat gedung fisip jamnya terlalu singkat, antriannya panjang bgt",RENDAH
FASILITAS,toilet di gedung b lantai 2 airnya tidak mengalir dan airnya gaada,RENDAH
AKADEMIK,"informasi prosedur skripsi mendadak bgt, stress bgt ngurusnya",TINGGI
AKADEMIK,"dosen tidak responsif di grup, nilai terancam",TINGGI
KEMAHASISWAAN,unit kemhsan sering tutup saat mhs butuh bantuan,RENDAH
JARINGAN_IT,"wifi perpus pusat lemot parah, gabisa akses spada",SEDANG
FASILITAS,"tolong ac fakultas hukum segera diperbaiki, sudah ancur dan ruangan jadi gerah bgt",SEDANG
KEMAHASISWAAN,"pengurusan transkip nilai sementara butuh lebih dari 2 minggu, bgt lama",RENDAH
JARINGAN_IT,"bandwidth wifi kampus tidak memadai, susah download materi kls",TINGGI
KEUANGAN,ukt naik setiap tahun tapi wifi gabisa diandalkan,TINGGI
AKADEMIK,"nilai gabisa diakses di portal, mhs jadi bingung",SEDANG
LAINNYA,sampah di sekitar parkiran menumpuk beberapa hari,RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
KEMAHASISWAAN,"pengurusan ktm butuh berminggu-minggu, bgt lama",RENDAH
KEMAHASISWAAN,bem kurang aktif menyuarakan aspirasi mhs soal kegiatan kemhsan,RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi tidak terorganisir dengan baik, proses administrasi terhambat",TINGGI
KEMAHASISWAAN,"kegiatan lomba antar prodi kurang dukungan kampus, banyak yang tidak terlayani",RENDAH
KEMAHASISWAAN,"fasilitas ruang ukm tidak memadai, mhs jadi kesal",RENDAH
LAINNYA,"gerbang gerbang 1 pintunya ancur, antrean masuk kampus panjang",SEDANG
KEUANGAN,"pembayaran biaya kkn terjadi kesalahan administrasi, prosesnya jadi bgt lama",RENDAH
LAINNYA,"area koridor antar gedung kotor dan tidak terawat, kurang nyaman buat mhs",SEDANG
KEUANGAN,"pengumuman perubahan biaya mendadak bgt, prosesnya jadi bgt lama",RENDAH
AKADEMIK,"ruang kls proyektornya ancur, nilai bisa jelek soalnya tidak konsen",SEDANG
AKADEMIK,"sistem spada membingungkan, nilai terancam",TINGGI
AKADEMIK,"informasi jadwal ujian mendadak, stress bgt ngurusnya",TINGGI
AKADEMIK,"bahan ajar sudah outdated, capek bgt dikelas",RENDAH
JARINGAN_IT,"internet di gedung b lantai 3 lemot parah, gabisa kumpul tugas online",SEDANG
