kategori,keluhan,urgensi
AKADEMIK,portal mhs sering gabisa diakses waktu pengumuman nilai,RENDAH
JARINGAN_IT,"sinyal di prodi matematika hilang timbul, gabisa upload tugas",SEDANG
AKADEMIK,"siakad gabisa diakses saat pengumuman nilai, nilai terancam",TINGGI
KEMAHASISWAAN,"senioritas di lingkungan kampus tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
JARINGAN_IT,koneksi di lab komputer putus-putus saat masa uas,TINGGI
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs gaada pengumuman resmi, banyak yang ketinggalan",RENDAH
JARINGAN_IT,"wifi lab kimia gabisa konek, terpaksa pakai kuota sendiri",RENDAH
FASILITAS,aula gedung c kursinya sudah tidak layak pakai dan proyektornya ancur,SEDANG
KEUANGAN,"dosen mewajibkan beli buku tertentu, kalau tidak beli nilai bisa jelek",RENDAH
AKADEMIK,"bahan ajar tidak diberikan oleh dosen, gabisa fokus",RENDAH
AKADEMIK,"spada nge-lag terus, susah akses forum diskusi",RENDAH
AKADEMIK,portal mhs sering timeout terus waktu deadline pengumpulan tugas,KRITIS
JARINGAN_IT,wifi kampus lemot parah apalagi kalau semua mhs pakai,SEDANG
JARINGAN_IT,koneksi di gedung fh putus-putus saat masa uas,TINGGI
AKADEMIK,"bimbingan skripsi dosennya susah ditemui, proses wisuda jadi molor",TINGGI
JARINGAN_IT,"bandwidth wifi kampus tidak memadai, gabisa akses spada",RENDAH
KEUANGAN,"pengumuman syarat keringanan ukt hanya dari mulut ke mulut, mhs kaget",TINGGI
KEMAHASISWAAN,"kegiatan kegiatan ukm tidak terorganisir, mhs jadi tidak antusias",TINGGI
KEUANGAN,biaya wisuda terlalu mahal dan prosedurnya bgt rumit,TINGGI
LAINNYA,"lapangan badminton bayar 10 ribu padahal mhs uho, gabisa dimanfaatkan optimal",RENDAH
FASILITAS,"gedung a lantai 1 panas bgt soalnya kurang dingin, mhs jadi malas masuk kls",RENDAH
KEUANGAN,biaya buku dosen seharusnya tidak dibebankan ke mhs,RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disebarkan merata, pengurusan jadi lama",TINGGI
LAINNYA,"kantin dekat gedung fisip jamnya terlalu singkat, mhs susah makan siang",RENDAH
KEUANGAN,untuk pengurusan/ informasi beasiswa kurang di sosialisasi ke mhs akhirnya yang tahu informasi hanya yang punya hubungan dengan pengurus kampus,TINGGI
KEMAHASISWAAN,unit kemhsan pelayanannya kurang saat mhs butuh bantuan,RENDAH
KEUANGAN,"biaya biaya kegiatan wajib dibebankan ke mhs, seharusnya tidak",RENDAH
FASILITAS,"fasilitas auditorium tidak memadai, masa bayar ukt tapi fasilitas gini",TINGGI
FASILITAS,"remot ac di gedung b hanya ada 2, seharusnya di perbanyak lagi minimal 2 remote dalam 1 lantai, akhirnya jika remotnya di lantai 1 ac untuk lantai 3 tidak hidup",RENDAH
LAINNYA,"atm/ bank kampus hanya satu dan sering antre, mhs harus keluar kampus untuk ke atm",SEDANG
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet perpus lemot parah,SEDANG
FASILITAS,"colokan di lab botani tidak berfungsi, padahal butuh buat ngecas",RENDAH
FASILITAS,lahan parkir di gedung b lantai 2 sempit bgt jadi sering telat kls,RENDAH
AKADEMIK,"bahan ajar tidak diberikan oleh dosen, mhs jadi malas masuk kls",RENDAH
KEUANGAN,beasiswa informasinya tidak merata dan banyak mhs yang berhak tapi tidak dapat,TINGGI
KEMAHASISWAAN,"senioritas di unit kemhsan tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
LAINNYA,"lingkungan sekitar gedung b lantai 3 gersang gaada pohon, tidak nyaman aktivitas luar",RENDAH
LAINNYA,"lapangan bola gaada penerangan malam hari, gaada wadah kegiatan olahraga mhs",SEDANG
KEUANGAN,"transparansi anggaran kegiatan mhs kurang, mhs tidak tahu siapa yang berhak",RENDAH
KEMAHASISWAAN,"fasilitas sekretariat bem fasilitasnya minim, pengurusan jadi bgt lama",RENDAH
JARINGAN_IT,"bandwidth wifi kampus bgt terbatas, tidak cukup untuk semua mhs",RENDAH
KEMAHASISWAAN,"sosialisasi prosedur pengajuan dokumen tidak merata, banyak yang terlewat informasinya",RENDAH
KEUANGAN,ada dosen menjual buku wajib beli yang memberatkan mhs,RENDAH
KEUANGAN,biaya wisuda terlalu mahal dan prosedurnya memakan waktu lama,TINGGI
LAINNYA,"taman kampus tidak terawat, panas bgt siang hari",RENDAH
KEMAHASISWAAN,"senioritas di lingkungan kampus membuat mhs baru tidak nyaman, membuat mhs baru tertekan",RENDAH
LAINNYA,"atm/ bank kampus gaada di dalam kampus, mhs harus keluar kampus untuk ke atm",RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt tidak diinformasikan dengan jelas, mhs yang urgent jadi kesusahan",TINGGI
AKADEMIK,"nilai tidak sesuai ekspektasi tanpa penjelasan, mhs dirugikan",RENDAH
AKADEMIK,"spada sering down, susah kumpul tugas",TINGGI
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu kemana uangnya pergi",RENDAH
AKADEMIK,"krs gabisa diakses saat masa pengisian, mhs dirugikan",TINGGI
AKADEMIK,"jadwal jadwal ujian hanya dari mulut ke mulut, banyak mhs yang tidak tahu",TINGGI
KEMAHASISWAAN,"organisasi kampus gaada regenerasi baik, gaada wadah aspirasi mhs",RENDAH
FASILITAS,"banyak kursi di gedung rektorat yang ancur, capek bgt dikelas",SEDANG
FASILITAS,"jendela ruangan 1.1 gabisa ditutup, silau bgt saat kls",RENDAH
AKADEMIK,"nilai di portal gaada penjelasan, mhs jadi bingung",SEDANG
JARINGAN_IT,koneksi di auditorium bapuk ga stabil padahal butuh buat video conference dengan dosen,RENDAH
AKADEMIK,"spada gabisa diakses, susah akses forum diskusi",RENDAH
AKADEMIK,siakad sering eror parah waktu masa krs,TINGGI
JARINGAN_IT,"sinyal di gedung a lantai 3 bgt lemah, gabisa upload tugas",RENDAH
AKADEMIK,"spada nge-lag waktu saat uas, susah download bahan ajar",KRITIS
KEMAHASISWAAN,"kegiatan kegiatan sosial kampus tidak terorganisir dengan baik, proses administrasi terhambat",TINGGI
LAINNYA,"kantin dekat gedung fisip tempatnya sempit dan panas, mhs susah makan siang",RENDAH
FASILITAS,lahan parkir di gedung a lantai 2 berantakan jadi sering telat kls,RENDAH
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet gedung fh nge-lag,RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan mhs aktif butuh seminggu lebih, bgt lama",RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan sudah melewati batas, membuat mhs baru tertekan",RENDAH
AKADEMIK,kls online terganggu soalnya sistem krs sering eror,TINGGI
LAINNYA,"jalan di belakang rektorat licin waktu hujan, berbahaya buat motor",RENDAH
KEUANGAN,beasiswa seleksinya tidak transparan dan banyak mhs yang berhak tapi tidak dapat,TINGGI
JARINGAN_IT,koneksi di fakultas ekonomi sering putus padahal butuh buat kls online,RENDAH
FASILITAS,"kebersihan gedung fh jarang dibersihkan, tidak nyaman berada di sini",RENDAH
FASILITAS,"wc lab komputer tidak terawat, terpaksa ke gedung lain yang jauh",RENDAH
FASILITAS,"wc gedung rektorat airnya tidak mengalir sudah seminggu lebih, terpaksa ke gedung lain yang jauh",RENDAH
KEUANGAN,"keringanan ukt susah diajukan, prosedurnya tidak jelas alurnya",TINGGI
LAINNYA,"jalan di belakang rektorat ancur parah berlubang, bisa bikin kecelakaan",KRITIS
KEMAHASISWAAN,"senioritas di himpunan tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
FASILITAS,"musola di fakultas teknik tempat wudhunya ancur, tolong diperhatikan",SEDANG
LAINNYA,"lingkungan sekitar gedung b lantai 2 minim fasilitas publik, gaada tempat bersantai",RENDAH
KEUANGAN,"informasi beasiswa tidak disosialisasikan baik, mhs layak tidak dapat",TINGGI
AKADEMIK,"informasi syarat wisuda hanya dari mulut ke mulut, proses jadi terlelet",TINGGI
JARINGAN_IT,koneksi di gedung rektorat lemot parah padahal butuh buat akses spada,SEDANG
JARINGAN_IT,server spada gabisa diakses waktu masa uts,KRITIS
FASILITAS,"tolong ac gedung mipa segera diperbaiki, netes airnya dan badan rasanya mau pingsan",RENDAH
AKADEMIK,"website web akademik sering eror, proses akademik terhambat",TINGGI
JARINGAN_IT,"koneksi internet gedung fisip gabisa diandalkan, gabisa akses spada",RENDAH
KEMAHASISWAAN,"pengurusan dokumen beasiswa butuh seminggu lebih, bgt lama",TINGGI
KEMAHASISWAAN,"staff bem tidak responsif, pelayanan publik yang buruk",RENDAH
LAINNYA,"kantin belakang gedung b jamnya terlalu singkat, gaada pilihan sehat",RENDAH
KEMAHASISWAAN,bem kurang aktif menyuarakan aspirasi mhs soal hak dan kewajiban mhs,RENDAH
LAINNYA,"atm dalam kampus sering eror, terpaksa keluar kampus",TINGGI
JARINGAN_IT,"sinyal di gedung fisip gaada sama sekali, harus keluar ruangan dulu",RENDAH
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu apa saja biaya yang resmi",TINGGI
FASILITAS,"banyak kursi di fakultas teknik yang kayunya sudah lapuk, capek bgt dikelas",RENDAH
AKADEMIK,"krs gabisa tambah matkul, banyak yang ketinggalan info",TINGGI
AKADEMIK,spada sering crash tiba-tiba waktu saat jam sibuk,RENDAH
KEMAHASISWAAN,senioritas diprodi masih bgt kental alangkah lebih baik edukasi untuk senioritas diadakan soalnya senioritas di kampus membuat beberapa mhs bisa tertekan,RENDAH
KEMAHASISWAAN,"senioritas di fakultas masih bgt kental, membuat mhs baru tertekan",RENDAH
JARINGAN_IT,"sinyal di prodi informatika gabisa untuk data seluler, kls online jadi terganggu",SEDANG
KEUANGAN,ada dosen yang menjual buku wajib dibeli yang tidak semestinya,RENDAH
JARINGAN_IT,server siakad sering down waktu deadline tugas,KRITIS
AKADEMIK,"website portal mhs ui-nya outdated bgt, mhs rugi bgt",RENDAH
LAINNYA,"gaada gazebo belajar di area kampus, padahal bgt dibutuhkan",RENDAH
JARINGAN_IT,koneksi di gedung a lantai 1 bapuk ga stabil padahal butuh buat akses spada,RENDAH
KEUANGAN,"dana kkn tidak cair tepat waktu, mhs dirugikan",RENDAH
LAINNYA,"keamanan area kampus malam kurang terjaga, tidak kondusif malam hari",RENDAH
AKADEMIK,"informasi prosedur skripsi tidak diinformasikan dengan jelas, proses akademik jadi terlelet",TINGGI
JARINGAN_IT,"jangkauan wifi lab komputer tidak luas, harus geser-geser cari sinyal",TINGGI
JARINGAN_IT,"server portal akademik sering down pas masa krs, terpaksa pakai kuota sendiri",TINGGI
LAINNYA,"area ruang tunggu panas dan tidak teduh, kurang nyaman buat mhs",RENDAH
LAINNYA,"keamanan lingkungan sekitar kampus cctv-nya tidak berfungsi, sering ada kehilangan motor",KRITIS
AKADEMIK,"ada dosen yang menjual buku wajib beli ke mhs, itu tidak profesional",RENDAH
LAINNYA,"pintu masuk utama pintunya ancur, tidak aman",SEDANG
KEMAHASISWAAN,"staff bagian kemhsan melayani dengan malas, tidak enak kalau harus ke sana",RENDAH
AKADEMIK,"spada lemot parah, susah ikut kuis",SEDANG
KEMAHASISWAAN,"program wirausaha mhs sosialisasinya kurang, mhs banyak yang tidak tahu",RENDAH
JARINGAN_IT,koneksi di ruang seminar putus-putus saat jam kls,RENDAH
JARINGAN_IT,"sinyal di gedung a lantai 2 gaada sama sekali, gabisa upload tugas",RENDAH
FASILITAS,ruangan 2.3 kursinya mejanya patah dan papan tulisnya gabisa dibaca,RENDAH
FASILITAS,toilet di gedung b lantai 2 airnya tidak mengalir dan airnya gaada,RENDAH
AKADEMIK,"spada lemot parah waktu saat uts, susah kumpul tugas",KRITIS
LAINNYA,"jalan di belakang rektorat ancur parah berlubang, banjir waktu hujan",SEDANG
KEUANGAN,"prosedur pengajuan keringanan ukt bgt rumit dan berbelit, mhs yang urgent jadi kesusahan",KRITIS
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu siapa yang berhak",TINGGI
AKADEMIK,"spada sering down waktu jam kls, susah akses materi",TINGGI
KEMAHASISWAAN,unit kemhsan jarang beroperasi saat mhs butuh bantuan,RENDAH
KEMAHASISWAAN,"layanan unit kemhsan responnya lelet, mhs jadi kesal",SEDANG
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu siapa yang berhak",RENDAH
AKADEMIK,"dosen sering tidak masuk tanpa keterangan, mhs dirugikan",RENDAH
LAINNYA,"keamanan lingkungan sekitar kampus rawan kriminal, mhs tidak merasa aman",KRITIS
JARINGAN_IT,"jangkauan wifi gedung c tidak sampai ke semua ruangan, kls online terganggu",RENDAH
FASILITAS,"saklar di gedung a lantai 3 sering turun, jadi kls terganggu",RENDAH
KEMAHASISWAAN,"staff layanan administrasi mhs tidak responsif, tidak sesuai standar pelayanan",RENDAH
KEUANGAN,"ukt sudah mahal, tapi wc-nya gabisa dipakai",TINGGI
KEUANGAN,"ukt sudah mahal, tapi fasilitasnya jauh dari layak",TINGGI
AKADEMIK,"ada dosen yang pilih kasih dalam penilaian, itu tidak profesional",RENDAH
LAINNYA,"keamanan lingkungan sekitar kampus sering ada kehilangan barang, orang luar bebas masuk",RENDAH
KEMAHASISWAAN,"program magang kampus merdeka tidak merata distribusinya, mhs kurang diuntungkan",RENDAH
AKADEMIK,sistem krs sering eror parah waktu saat jam sibuk,TINGGI
LAINNYA,"atm/ bank kampus sering eror, merepotkan saat butuh dana mendadak",TINGGI
JARINGAN_IT,wifi kampus nge-lag terus apalagi kalau acara kampus,RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disebarkan merata, mhs jadi kesal",TINGGI
LAINNYA,"lapangan bola gaada penerangan malam, gabisa dimanfaatkan optimal",SEDANG
KEMAHASISWAAN,"kegiatan seminar mhs waktunya tidak pas, proses administrasi terhambat",RENDAH
AKADEMIK,"nilai di portal belum keluar padahal sudah lama, banyak yang ketinggalan info",RENDAH
AKADEMIK,"nilai gabisa diakses di portal, stress bgt ngurusnya",RENDAH
LAINNYA,"gerbang gerbang 3 pintunya ancur, tidak efisien",SEDANG
LAINNYA,"lingkungan sekitar gedung fh bising dari luar kampus, tidak mendukung kreativitas mhs",RENDAH
AKADEMIK,"ada dosen yang memberi nilai buruk kalau tidak beli bukunya, itu tidak profesional",RENDAH
FASILITAS,"min, wc di auditorium kondisinya cuma pajangan, tolong segera diperbaiki",RENDAH
LAINNYA,"kantin area food court kampus harganya kemahalan, antriannya panjang bgt",RENDAH
KEMAHASISWAAN,"sosialisasi kegiatan kemhsan bgt kurang, banyak yang terlewat informasinya",RENDAH
LAINNYA,"transportasi gaada shuttle bus kampus, tidak ramah lingkungan",RENDAH
FASILITAS,"musola di perpus pusat tidak terawat, tolong diperhatikan",RENDAH
KEUANGAN,"biaya seragam praktikum dibebankan ke mhs, seharusnya tidak",RENDAH
KEUANGAN,"dana praktikum prosesnya berbelit-belit, mhs dirugikan",RENDAH
LAINNYA,"lingkungan sekitar perpus gersang gaada pohon, gaada tempat bersantai",RENDAH
KEMAHASISWAAN,"program mentoring akademik prosedur pendaftarannya ribet, mhs kurang diuntungkan",RENDAH
FASILITAS,"pipa saluran ac di ruang kls lantai 2 bocor, lantai jadi basah",RENDAH
FASILITAS,"wc fakultas teknik jorok bgt, mhs jadi susah kalau kebelet",RENDAH
JARINGAN_IT,"wifi gedung mipa nge-lag terus, gabisa akses spada",RENDAH
LAINNYA,"jalan di belakang rektorat sempit bgt, bisa bikin kecelakaan",KRITIS
AKADEMIK,"bahan ajar tidak diberikan oleh dosen, capek bgt dikelas",RENDAH
JARINGAN_IT,"bandwidth wifi kampus sering habis di jam sibuk, gabisa akses spada",RENDAH
JARINGAN_IT,"bandwidth wifi kampus kurang untuk semua mhs, tidak produktif di kampus",TINGGI
JARINGAN_IT,"bandwidth wifi kampus sering habis di jam sibuk, susah download materi kls",TINGGI
FASILITAS,"tangga fakultas ekonomi gaada pegangan, bahaya kalau terpeleset",RENDAH
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu kemana uangnya pergi",TINGGI
FASILITAS,"fakultas ekonomi panas bgt soalnya panasnya parah, gabisa fokus",RENDAH
FASILITAS,lahan parkir di gedung a lantai 1 banyak yang parkir sembarangan jadi sering telat kls,RENDAH
FASILITAS,"min, wc di gedung a lantai 1 kondisinya kotor parah, tolong segera diperbaiki",SEDANG
KEUANGAN,"seleksi beasiswa tidak transparan, prosesnya tidak adil",TINGGI
LAINNYA,"transportasi akses transportasi umum susah, biaya transportasi jadi membebani",RENDAH
KEUANGAN,"masih terdapat pungli, seperti dosen menjual buku, yang tidak beli buku nilainya jelek",RENDAH
KEUANGAN,"informasi beasiswa tidak transparan, mhs layak tidak dapat",TINGGI
FASILITAS,"plafon ruangan 1.1 jelek parah, khawatir mhs tidak nyaman",RENDAH
JARINGAN_IT,"jaringan di lab biologi lemot parah, susah akses internet",SEDANG
LAINNYA,"gerbang gerbang 1 pintunya ancur, antrean masuk kampus panjang",SEDANG
LAINNYA,"keamanan area parkir kurang terjaga, tidak kondusif untuk kegiatan malam",RENDAH
LAINNYA,"jalan di dekat auditorium sempit, kendaraan jadi ancur",SEDANG
KEUANGAN,"dana kegiatan mhs tidak cair tepat waktu, mhs dirugikan",RENDAH
FASILITAS,"min, wc di fakultas hukum kondisinya jorok bgt, tolong segera diperbaiki",RENDAH
JARINGAN_IT,wifi kampus gabisa konek apalagi kalau banyak yang konek,RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan aktif makan waktu berminggu-minggu, bgt tidak efisien",RENDAH
KEMAHASISWAAN,"kegiatan ospek kurang dukungan kampus, mhs jadi kesal",RENDAH
FASILITAS,"tolong ac fakultas teknik segera diperbaiki, nda menyala dan belajarnya tidak nyaman",RENDAH
JARINGAN_IT,"wifi perpus pusat bapuk ga stabil, terpaksa pakai kuota sendiri",RENDAH
AKADEMIK,"nilai belum keluar padahal sudah lama, stress bgt ngurusnya",RENDAH
LAINNYA,"kebersihan sekitar parkiran kumuh, tidak nyaman untuk beraktivitas",RENDAH
AKADEMIK,"bahan ajar susah dicari, nilai bisa jelek soalnya tidak konsen",RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs hanya melalui grup tertentu, banyak yang terlewat informasinya",RENDAH
AKADEMIK,"nilai ada yang salah input, banyak yang ketinggalan informasi",RENDAH
FASILITAS,"banyak kursi di gedung a lantai 3 yang mejanya patah, nilai bisa jelek soalnya tidak konsen",RENDAH
JARINGAN_IT,server portal akademik sering down waktu jam kls,TINGGI
AKADEMIK,"krs sering eror, proses akademik jadi terlelet",TINGGI
FASILITAS,"tolong ac gedung fisip segera diperbaiki, cuma pajangan dan susah fokus",RENDAH
JARINGAN_IT,"sinyal di fakultas hukum gabisa untuk data seluler, kls online jadi terganggu",RENDAH
FASILITAS,parkiran motor yang masih kurang teratur dan banyak parkir sembarangan. alhasil terlelet kalau ada kelas karna waktunya habis untuk cari parkir dulu.,SEDANG
LAINNYA,"penerangan jalan di dekat auditorium gaada, berbahaya malam hari",SEDANG
KEMAHASISWAAN,"fasilitas ruang ukm tidak memadai, mhs jadi kesal",RENDAH
JARINGAN_IT,"sinyal di lab biologi gaada sama sekali, kls online jadi terganggu",RENDAH
KEMAHASISWAAN,"senioritas di himpunan masih bgt kental, membuat mhs baru tertekan",RENDAH
KEUANGAN,"pengumuman pengumuman beasiswa tidak diinformasikan dengan jelas, mhs jadi bingung",TINGGI
KEMAHASISWAAN,"pengurusan surat izin kegiatan makan waktu lebih dari 2 minggu, bgt tidak efisien",RENDAH
AKADEMIK,"dosen tidak tepat waktu, proses akademik terhambat",RENDAH
LAINNYA,"kantin area food court harganya mahal, susah makan siang",RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan masih melewati batas, mhs baru jadi tertekan",RENDAH
LAINNYA,"lingkungan sekitar fakultas ekonomi gersang gaada pohon teduh, tidak nyaman buat aktivitas luar",RENDAH
JARINGAN_IT,"jangkauan wifi prodi matematika tidak sampai ke semua ruangan, kls online terganggu",SEDANG
JARINGAN_IT,"jangkauan wifi gedung c hanya di spot tertentu, harus geser-geser cari sinyal",RENDAH
KEUANGAN,biaya biaya kegiatan wajib seharusnya tidak dibebankan ke mhs,RENDAH
FASILITAS,"gedung d panas bgt soalnya tidak berfungsi, belajarnya terganggu",RENDAH
FASILITAS,"plafon ruang kelas b2 bocor saat hujan, khawatir celaka kalau tiba-tiba jatuh",RENDAH
LAINNYA,"penerangan jalan di area antar gedung gaada, berbahaya malam hari",SEDANG
KEUANGAN,ukt naik setiap tahun tapi fasilitasnya jauh dari layak,TINGGI
LAINNYA,"area koridor antar gedung gaada tempat duduk, kurang nyaman buat mhs",RENDAH
JARINGAN_IT,koneksi di lab komputer lemot parah padahal butuh buat download materi,TINGGI
KEUANGAN,ukt sudah mahal tapi ac-nya ancur semua,TINGGI
KEUANGAN,"prosedur pengajuan keringanan ukt tidak jelas alurnya, mhs jadi bingung",TINGGI
JARINGAN_IT,server portal akademik sering down waktu deadline tugas,KRITIS
FASILITAS,"kursi di gedung b lantai 3 udah lama mejanya patah, kapan diganti?",RENDAH
AKADEMIK,"sistem spada outdated bgt, mhs rugi bgt",RENDAH
AKADEMIK,"jadwal kls gaada pemberitahuan resmi, banyak yang ketinggalan informasi",RENDAH
FASILITAS,"kebersihan lab biologi jarang dibersihkan, bisa jadi sumber penyakit",RENDAH
KEMAHASISWAAN,"senioritas di organisasi kampus membuat mhs baru tidak nyaman, membuat mhs baru tertekan",RENDAH
FASILITAS,"gaada tempat duduk di lab biologi, padahal bgt dibutuhkan",RENDAH
AKADEMIK,"informasi prosedur skripsi mendadak, mhs dirugikan",TINGGI
FASILITAS,ruangan terasa panas ac tidak berfungsi soalnya gaada remotnya,RENDAH
AKADEMIK,"beberapa alat atau bahan praktikum, masa di sediakan praktikan, bukankah semuanya di sediakan dari kampus?",RENDAH
LAINNYA,"kantin pusat tidak higienis, terpaksa keluar kampus",RENDAH
AKADEMIK,"revisi skripsi prosedurnya ribet, stress bgt ngurusnya",TINGGI
AKADEMIK,"spada loadingnya lama bgt, susah ikut kuis",RENDAH
KEUANGAN,"dana kkn jumlahnya tidak sesuai, mhs dirugikan",RENDAH
JARINGAN_IT,"bandwidth wifi kampus sering habis di jam sibuk, tidak produktif di kampus",TINGGI
JARINGAN_IT,"jangkauan wifi gedung fh tidak luas, harus geser-geser cari sinyal",TINGGI
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu bagaimana seleksinya",TINGGI
KEUANGAN,"pengumuman deadline pembayaran ukt tidak sampai ke semua mhs, prosesnya jadi bgt lama",TINGGI
KEMAHASISWAAN,"fasilitas lapangan olahraga tidak layak, proses administrasi terhambat",RENDAH
FASILITAS,"parkiran prodi matematika gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
LAINNYA,"jalan di area parkir utama sempit, berbahaya buat motor",RENDAH
JARINGAN_IT,"jaringan di prodi akuntansi sering putus-putus, susah akses internet",RENDAH
LAINNYA,sampah di sekitar parkiran menumpuk kalau gaada petugas,RENDAH
FASILITAS,"gedung b lantai 2-3 sering turun saklar lampu, jadi ruangan panas, lcd mati, dll. paling parah pas setiap masuk matakls hm",SEDANG
AKADEMIK,"informasi jadwal ujian hanya dari mulut ke mulut, banyak yang ketinggalan informasi",TINGGI
FASILITAS,"kursi di gedung a lantai 3 udah lama rodanya hilang, kapan diganti?",RENDAH
FASILITAS,"min, parkiran gedung b lantai 2 banyak yang parkir sembarangan tolong diatur lebih baik",RENDAH
LAINNYA,"lingkungan sekitar gedung b lantai 3 kurang terawat, tidak nyaman buat aktivitas luar",RENDAH
AKADEMIK,"ruang kls proyektornya ancur, belajarnya terganggu",SEDANG
FASILITAS,"ac gedung a lantai 2 cuma pajangan, berisik bgt padahal masa bayar ukt tapi fasilitas gini",TINGGI
FASILITAS,"wc gedung b lantai 3 tidak terawat, bgt mengganggu aktivitas",RENDAH
FASILITAS,"tolong ac gedung d segera diperbaiki, kurang dingin dan badan rasanya mau pingsan",RENDAH
FASILITAS,"wc gedung d airnya tidak mengalir sudah seminggu lebih, harus nahan lama bgt",RENDAH
JARINGAN_IT,"hotspot kampus kayak tidak dibayar, terpaksa habiskan kuota sendiri",RENDAH
FASILITAS,"parkiran auditorium gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
JARINGAN_IT,"jangkauan wifi auditorium terbatas bgt, gabisa akses spada",RENDAH
FASILITAS,"tolong ac gedung b lantai 3 segera diperbaiki, cuma pajangan dan mhs tidak konsen belajar",RENDAH
KEUANGAN,beasiswa prosesnya tidak jelas dan hanya yang punya koneksi yang dapat,TINGGI
KEMAHASISWAAN,"fasilitas sekretariat bem tidak layak, proses administrasi terhambat",RENDAH
FASILITAS,"ac lab kimia cuma pajangan, mati total padahal ukt mahal tapi fasilitas tidak sesuai",KRITIS
AKADEMIK,"bahan ajar harus beli sendiri, mhs jadi malas masuk kls",RENDAH
KEMAHASISWAAN,"kegiatan kegiatan sosial kampus waktunya tidak pas, banyak yang tidak terlayani",RENDAH
JARINGAN_IT,wifi kampus gabisa konek apalagi kalau semua mhs pakai,RENDAH
LAINNYA,"kantin dekat gedung fisip tempatnya sempit, susah makan siang",RENDAH
LAINNYA,"lingkungan sekitar ruang seminar gersang gaada pohon, panas bgt siang hari",RENDAH
LAINNYA,"lapangan futsal dikenakan biaya masuk yang tidak semestinya, lapangan gabisa dimanfaatkan optimal",TINGGI
JARINGAN_IT,"jaringan di gedung a lantai 1 sering putus-putus, susah akses internet",RENDAH
AKADEMIK,"jadwal kls informasinya tidak jelas, stress bgt ngurusnya",RENDAH
FASILITAS,"tolong ac fakultas hukum segera diperbaiki, cuma pajangan dan gerah minta ampun",RENDAH
FASILITAS,"kebersihan fakultas teknik gaada petugas kebersihan, baunya tidak enak",RENDAH
AKADEMIK,"website sistem krs sering eror, belajar jadi terganggu",TINGGI
KEMAHASISWAAN,"organisasi gaada regenerasi yang baik, potensi mhs tersia-sia",RENDAH
LAINNYA,"taman kampus tidak terawat, tidak nyaman aktivitas luar",RENDAH
AKADEMIK,"bimbingan skripsi responnya bgt lama, proses wisuda jadi molor",TINGGI
KEMAHASISWAAN,"layanan hima sering tutup, pengurusan jadi bgt lama",RENDAH
KEMAHASISWAAN,"organisasi kampus kegiatannya monoton, gaada wadah aspirasi mhs",RENDAH
AKADEMIK,"website spada sering eror, belajar jadi terganggu",TINGGI
FASILITAS,"fasilitas prodi informatika tidak memadai, masa bayar ukt tapi fasilitas gini",TINGGI
KEUANGAN,"ukt naik setiap tahun, tapi ac-nya ancur semua",TINGGI
JARINGAN_IT,"jangkauan wifi gedung fisip tidak luas, tidak produktif di kampus",TINGGI
KEMAHASISWAAN,"program pertukaran mhs sosialisasinya kurang, mhs banyak yang tidak tahu",RENDAH
LAINNYA,"lingkungan sekitar aula kurang terawat, gaada tempat bersantai",RENDAH
FASILITAS,"kursi di gedung b lantai 3 udah lama goyang terus, kapan diganti?",RENDAH
KEUANGAN,"informasi beasiswa informasinya tidak transparan, hanya orang tertentu yang tahu",TINGGI
LAINNYA,"area taman kampus gaada tempat duduk, tidak nyaman buat mhs",RENDAH
AKADEMIK,sistem krs sering eror parah terutama jam kls,TINGGI
KEUANGAN,"pembayaran ukt harus datang langsung berkali-kali, mhs jadi bingung",TINGGI
LAINNYA,"lapangan bola tidak terawat, gaada wadah kegiatan olahraga mhs",RENDAH
JARINGAN_IT,"sinyal di perpus pusat gaada sama sekali, gabisa upload tugas",RENDAH
LAINNYA,"jalan di jalan masuk kampus gaada penerangan malam, berbahaya buat motor",SEDANG
FASILITAS,"fasilitas auditorium sudah bgt ketinggalan, padahal kita sudah bayar ukt",TINGGI
