text,category,urgency
menjadi lebih baik,LAINNYA,RENDAH
Semoga bisa dipertahankan,LAINNYA,RENDAH
tambah parkiran,FASILITAS,RENDAH
sering eror jika jarang di buka,LAINNYA,TINGGI
"kurangin tugas seperti kurikulum kemarin, sekarang banyak sekali tugas yang diberikan",LAINNYA,SEDANG
"Semoga bisa meningkatkan kinerja lab untuk praktikum mata kuliah agar bisa cepat mengakses materi yang dibutuhkan, dan lain sebagainya.",LAINNYA,RENDAH
Saya harap kelayakan fasilitas di toilet lebih diperhatikan,FASILITAS,RENDAH
semoga stikom selalu jaya,LAINNYA,RENDAH
"Lebih manfaatkan kuliah online dan mematangkan sistem kuliah jarak jauh supaya bisa lebih efektif namun lebih mudah dioperasikan,,",LAINNYA,RENDAH
harapanya semoga bisa dipertahankan dan ditingkatkan,LAINNYA,RENDAH
Konfirmasi Pembayaran online,KEUANGAN,RENDAH
Semoga dapat direalisasikan sebuah platform dalam memberikan informasi dan panduan agar dapat lebih menarik dan dapat menjangkau sdm secara keseluruhan.,LAINNYA,RENDAH
"Tidak ada harapan, sudah bagus",LAINNYA,RENDAH
"Semoga mahasiswa mendapatkan WI-Fi yang kencang, Toilet yang memiliki sarpras yang baik, tempat parkir yang luas, proyektor di ruang kelas yang lebih baik dari sekarang",FASILITAS,TINGGI
meningkatkan sarana & fasilitas,FASILITAS,RENDAH
Semoga kedrpannya makin jaya,LAINNYA,RENDAH
Harapannya agar pengembangan soft skills mahasiswa dapat di tingkatkan serta peningkatan sarana dan prasarana.,LAINNYA,RENDAH
Semuanya dapat ditingkatkan lebih baik lagi,LAINNYA,RENDAH
Dosen dapat hadir ketika pembelajaran offline,AKADEMIK,RENDAH
stikom selalu terbaik,LAINNYA,RENDAH
"harapan untuk meningkatkan kinerja STIKOM Bali yaitu, kecepatan dalam memberikan sebuah informasi.",LAINNYA,RENDAH
"Saya berharap dibukanya kelas malam pada perkuliahan Semester Pendek, agar mahasiswa kelas malam bisa mengikuti Semester Pendek",LAINNYA,RENDAH
Memperluas bangunan,FASILITAS,TINGGI
peningkatan aksesibilitas,LAINNYA,RENDAH
semoga ke depan menjadi lebih baik,LAINNYA,RENDAH
kedepannya untuk mempermudah kelulusan mahasiswa,LAINNYA,TINGGI
"Peremajaan terhadap seluruh komputer, menambah fasilitas di dalam lab",FASILITAS,RENDAH
tingkatkan kualitas di beberapa sektor,LAINNYA,RENDAH
Harapan saya bisa bekerja sama dengan binus university dan program magang ke luar negeri,LAINNYA,RENDAH
fasilitas masih kurang untuk memenuhi proses pembelajaran,FASILITAS,SEDANG
"dibagian pelayanan keluhan kurang responsif dan slow respon jika di chat via teams, sehingga saya harus ke kampus untuk menanyakan solusi terkait keluhan saya",LAINNYA,SEDANG
"saya berharap stikom bali terus maju dan jadi yang pertama, dan saya berharap kedisiplinan dosen lebih di tingkatkan lagi",AKADEMIK,RENDAH
Lebih fas respon ketika ditanya oleh mahasiswa,LAINNYA,RENDAH
Semoga dalam alur pelaksaan rangkaian sidang dapat dijelaskan lebih baik lagi,LAINNYA,RENDAH
semoga pelayanan lebih ditingkatkan,LAINNYA,RENDAH
"Semoga kedepan semakin baik, internal dan eksternal yang semakin bagus",LAINNYA,RENDAH
semoga kinerja seluruhnya semakin meningkat,LAINNYA,RENDAH
Pelayanan akademik kurang menyenangkan,AKADEMIK,SEDANG
Pemberitahuan pengumuman setidaknya 2 atau 1 minggu lebih awal,LAINNYA,RENDAH
"semoga penyampaian kuliah seperti magang, mbkm atau yang lainnya lebih banyak informasi",LAINNYA,RENDAH
Harapan nya supaya stikom lebih baik lagi kedepannya dalam akadameik,LAINNYA,RENDAH
Dilakukannya pengecekan kualitas/mutu secara rutin,LAINNYA,RENDAH
peningkatan kualitas fasilitas,FASILITAS,RENDAH
Semoga Kedepannya Dosen Pembimbing Bisa Lebih Cepat Untuk Menanggapi Permasalahan Pada Mahasiswanya,AKADEMIK,RENDAH
memperbaiki dan memperbagus fasilitas kampus,FASILITAS,RENDAH
harapan saya semoga kedepanya tetap menjadi yang terbaik,LAINNYA,RENDAH
Terus memberi inovasi inovasi untuk mahasiswa nya,LAINNYA,RENDAH
lebih mengupgrade kualitas SION,LAINNYA,RENDAH
semoga kedepepannya stikom menjadi yg semakin baik,LAINNYA,RENDAH
ya memprbaiki yg seharusnya di perbaiki,LAINNYA,RENDAH
Fasilitas Teknologi yang Lebih Maju,FASILITAS,RENDAH
kedepannya agar bisa lebih baik lagi,LAINNYA,RENDAH
saya sarakan buat satpam di depan bilang mahasiswa mau masuk kampus satpam memberhentikan kendaraan agar mahasiswa mudah memasuki kampus.,LAINNYA,RENDAH
tetap memberikan pelayanan yang baik,LAINNYA,RENDAH
Peningkatan Infrastruktur Teknologi,KEUANGAN,RENDAH
"Wifi lebih kencang, kursi di tiap lantai tersedia, kantin lebih banyak kursi, larangan merokok,",FASILITAS,RENDAH
LEBIH DITINGKATKAN LAGI,LAINNYA,RENDAH
"tidak ada,semua sudah dilakukan dengan baik",LAINNYA,RENDAH
Semakin berkembang,LAINNYA,RENDAH
fasilitas semakin di bagusin,FASILITAS,RENDAH
Semakin di tingkatkan fasilitas nya terutama di ruangan perkuliahan dan semoga dari pelayanan tetap konsisten dengan baik dan terjaga.,FASILITAS,RENDAH
semoga fasilitas ruanganya diperbanyak agar tidak ada kelas malam,FASILITAS,RENDAH
"Wifi nya kencening, saat kuota habis jadi saya sangat susah untuk akses pembelajaran online karena kuota habis",JARINGAN_IT,SEDANG
Semoga jauh lebih baik,LAINNYA,RENDAH
Semoga kedepannya koleksi bacaan buku di perpustakaan bertambah,FASILITAS,RENDAH
saya berharap stikom bali bisa lebih baik lagi dalam memberikan pelayanan,LAINNYA,RENDAH
Harapan saya semoga dapat meningkatkan fasilitas sarana dan prasarana kedepannya,FASILITAS,RENDAH
Mungkin disetiap kelas bisa menggunakan smart screen untuk proses pembelajaran sebagai ganti dari proyektor dan screen proyektor..,FASILITAS,RENDAH
Tempat untuk istirahat dengan adanya ac,FASILITAS,RENDAH
Tempat parkir stikom,FASILITAS,RENDAH
Agar kedepannya staff di perpustakaan stikom lebih ramah lagi terutama jika ada mahasiswa kelas PJJ yang bertanya mengenai cara pengumpulan Proposal atau laporan Kerja Praktek,AKADEMIK,RENDAH
Dosen yang lebih profesional,AKADEMIK,RENDAH
tetap konsisten,LAINNYA,RENDAH
Semoga STIKOM bali lebih bisa meregulasi pembagian kelas online dan offline secara adil,LAINNYA,RENDAH
Harapannya seomga liftnya bisa bekerja dengan baik keduanya,FASILITAS,RENDAH
Semoga lebih fast respon dalam menanggapi keluh kesah mahasiswa,LAINNYA,RENDAH
Semoga semakin sukses,LAINNYA,RENDAH
Semoga dibenahi,LAINNYA,RENDAH
"Harapan saya, Semoga Kinerja yang baik itu tetap di pertahankan dan tidak menyulitkan mahasiswanya dalam mengurus hal apapun terkait perkuliahan. apalagi mahasiswa yang sudah mau lulus pastilah banyak membutuhkan bantuan para dosen, dan para staf kampus lainnya dalam memberikan informasi kepada mahasiswanya.",AKADEMIK,RENDAH
"Harapan saya hanya, semoga kampus kita ITB Stikom Bali lebih berkembang lagi, dan banyak membuat program baru untuk mengembangkan minat dan bakat, serta bisa membantu masyarakat miskin untuk melanjutkan pendidikan",LAINNYA,RENDAH
sebagi mahasiswa PJJ kami tetap menginginkan dan mendapatkan hak dan kewajiban sesuai aturan. kami tetap ingin mendapatkan ilmu dari STIKOM bukan sekedar kuliah.,LAINNYA,RENDAH
Harapan saya adalah respon komunikasi dapat ditingkatkan,LAINNYA,RENDAH
semoga lebih baik menjalankan tugas masing,LAINNYA,RENDAH
tetap pada kinerja seperti ini,LAINNYA,RENDAH
semoga bisa menjadi kampus favorit di bali,LAINNYA,RENDAH
sudah sangat baik,LAINNYA,RENDAH
"Semoga ada perubahan untuk stikom,biar lebih berkembang kedepannya",LAINNYA,RENDAH
"SAYA MOHON UNTUK JALANAN BELAKANG ATASAN BISA MENGUSULKAN KEPADA PEMERINTAH UNTUK MEMPERBAIKI JALAN YANG SUPER RUSAK, FASILITAS GEDUNG DI RENON JUGA HARUS DITINGKATKAN, TAMBAHKAN FURNITUR YANG FUTURISTIK AGAR SESUAI DENGAN BAYARAN SPP KAMI, MASA KALIAN KALAH DENGAN PRIMAKARA YANG BARU MUNCUL BARU"" INI DARI SEGI HAMPIR KESELURUHAN ASPEK?",FASILITAS,TINGGI
Perbaikan fasilitas jika ada fasilitas yang rusak tolong cepat di perbaiki,FASILITAS,TINGGI
meningkatkan kecepatan update informasi melalui sion,LAINNYA,RENDAH
saya harapkan stikom mampu mengganti unit kabel proyektornya dari vga ke hdmi,FASILITAS,RENDAH
Harapan saya stikom agar lebih berkembang lagi dan liftnya agar cepat diperbaiki,FASILITAS,RENDAH
Berkomitmen mengembangkan STIKOM Bali dengan tanpa tercerabut dari akar budaya bangsa,LAINNYA,RENDAH
tetap memberikan yag terbaik,LAINNYA,RENDAH
semoga kedepannya semua bisa kelas offline,LAINNYA,RENDAH
semoga cepat menjadi universitas,LAINNYA,RENDAH
Harapan saya Stikom Bali lebih kompeten untuk memajukan pengetahuan di bidang TI(Teknologi Informasi),LAINNYA,RENDAH
"STIKOM Bali banyak Menjalin kerja sama lebih erat dengan perusahaan teknologi besar untuk mendukung magang, penelitian bersama, atau inkubator bisnis. Supaya peluang kerja lulusan STIKOM Bali bisa mendapatkan pekerjaan lebih mudah kedepannya.",KEUANGAN,TINGGI
semoga bisa dipertahankan untuk kedepannya,LAINNYA,RENDAH
Semoga dapat memberikan pelayanan yang terbaik,LAINNYA,RENDAH
Fasilitas pembayaran uang kuliah seperti atm atau bank di limgkungan kampus mohon di sediakan,FASILITAS,RENDAH
lebih ramah lagi,LAINNYA,RENDAH
tingkatkan fasilitas umum,FASILITAS,RENDAH
Lebih Responsif,LAINNYA,RENDAH
lebih cepat dalam merespon permasalahan mahasiswa,LAINNYA,RENDAH
server untuk perwalian di tingkatkan dan di perbaiki agar tidak ngelag,LAINNYA,RENDAH
Terus kembangkan.,LAINNYA,RENDAH
Selalu update dari segi teknologi dan fasilitas IT,FASILITAS,RENDAH
"Harapan saya, STIKOM Bali dapat meningkatkan fasilitas dan teknologi pembelajaran, serta memperbanyak program magang untuk mahasiswa agar lebih siap menghadapi dunia kerja.",FASILITAS,RENDAH
"Ac bocor agar diperbaiki, dan bangku yang rusak diganti",FASILITAS,TINGGI
"Harapan yang dapat saya usulkan adalah memperbarui infrastruktur teknologi kampus, seperti jaringan internet, menambah titik akses WiFi di area publik, seperti kantin, taman, dan ruang diskusi, serta meningkatkan kualitas jaringan WiFi di kampus.",JARINGAN_IT,RENDAH
semoga semakin jaya dan lebih baik lagi,LAINNYA,RENDAH
Kelayakan fasilitas sarana dan prasarana perkuliahan.,FASILITAS,RENDAH
Intinya segala bidang,LAINNYA,RENDAH
untuk memeberikan notifikasi bagi mahasiswa agar lebih jelas untuk pengumuman apapun itu,LAINNYA,RENDAH
menambah fasilitas seperti wifi yang mempuni untuk mahasiswa,FASILITAS,RENDAH
Semoga semua yang masih kurang bisa semakin ditingkatkan agar sama-sama memberikan kenyamanan untuk semua warga kampus,LAINNYA,SEDANG
kurangi mencari sertifikasi karna tidak ada gunanya punya banyak sertifikat,LAINNYA,SEDANG
Memperbarui dan menambah fasilitas laboratorium dengan teknologi terkini,FASILITAS,RENDAH
Lebih di tingkatkan dan pertahankan yg sudah baik,LAINNYA,RENDAH
terus meningkatkat kinerja yang terbaik agar mutu pendidikan semakin baik,LAINNYA,RENDAH
semoga kedepannya di setiap pintu lab diisi hand sanitizer,LAINNYA,RENDAH
Hanya di tempat parkir mobil,FASILITAS,RENDAH
"parkiran di perluas, tanah di perluas, lift rutin di perbaiki, air di kamar mandi kelancarannya diperhatikan",FASILITAS,TINGGI
"Lebih banyak membuka kelas offline, mensosialisasikan akses e-library yang saya sendiri tidak pernah menggunakan fasilitas e-library, dan saran saya yang saya sangat rasakan kali ini adalah kelas yang double pertemuan mohon untuk dikurangi. karena menumpuknya seluruh tugas mahasiswa dari seluruh mata kuliah. jadi mahasiswa cukup kerepotan dalam menghadapi banyaknya tugas. Mohon saran dan harapan dapar diterima, demi sistem perkuliahan yang lebih efektif lagi. terima kasih",FASILITAS,SEDANG
semoga stikom kedepan semakin jaya,LAINNYA,RENDAH
"saya harap di kamar mandi ditambahkan tissue toilet, agar lebih higienis",FASILITAS,RENDAH
"Saya harap fasilitas parkir di perluas lagi, mengingat banyaknya mahasiswa di itb stikom bali. Dlm sistem e-learning dan sion juga diperbaiki karena kadang sulit masuk dan eror",FASILITAS,TINGGI
Mohon dijaga dan ditingkatkan kinerjanya,LAINNYA,RENDAH
Sediakan WIFI yang dapat diakses mahasiswa.,JARINGAN_IT,RENDAH
Supaya bisa menjadi kampus yang lebih baik dan bagus,LAINNYA,RENDAH
semoga dipertahankan,LAINNYA,RENDAH
yang kurang kurang mungkin bisa ditingkatkan lagi,LAINNYA,SEDANG
semoga fasilitas yang ada bisa lebih baik lagi,FASILITAS,RENDAH
Dapat meningkatkan lagi layanan khususnya di daya tanggap atau respon terhadap mahasiswa yang bertanya,LAINNYA,RENDAH
Kami berharap kelas di ITB Stikom Bali ditingkatkan lagi,LAINNYA,RENDAH
meningkatkan fasilitas yang lebih baik,FASILITAS,RENDAH
fasilitas jangan dibatasi,FASILITAS,RENDAH
meningkat terus,LAINNYA,RENDAH
semoga kantinya diperluas dan juga toiletnnya di benahi dan lieftnya tidak rusak lagi,FASILITAS,TINGGI
tolong di perbaiki di bagian parkiran saat hujan terjadi banjir,FASILITAS,TINGGI
harapan saya semoga stiko bali kedepannya dapat menjadi kampus yang disenangi banyak orang untuk belajar tentang IT,LAINNYA,RENDAH
Harapan saya wifi di kampus tidak berisi password,JARINGAN_IT,RENDAH
karena saya tidak menggunakan fasilitas kampus (kuliah dirumah) maka saya memberi *1 pada beberapa sektor,FASILITAS,RENDAH
"Semoga konsisten dengan apa yang diucapkan, pembuktian dari janji janji yang diberikan",KEUANGAN,RENDAH
"Semoga para dosen di bina lebih baik agar tidak terlalu ber ego tinggi, karena mahasiswa juga banyak yang sudah bekerja, jadi harus bisa saling mengerti dalam pembelajaran dan kelas yang berlangsung, dan juga semoga sistem dari ITB STIKOM BALI lebih di tingkatkan karena absensi saya banyak mendapatkan masalah yang mana seharusnya saya hadir tetapi dari sistem di buat tidak hadir",AKADEMIK,RENDAH
Menjadi lebih baik kedepan nya,LAINNYA,RENDAH
semoga stikom menjadi lebih baik lagi kedepannya,LAINNYA,RENDAH
Kurang tisu ditoilet,FASILITAS,SEDANG
harapan saya semoga STIKOM Bali dapat memperbaiki dan menambah infrastruktur kampus agar lebih modern dan nyaman.,KEUANGAN,RENDAH
ada tempat duduk di lantai agar pantat tidak sakit saat buat tugas di kampus,LAINNYA,RENDAH
Semoga terus berkembang dalam memberikan pelayanan dan fasilitas kampus,FASILITAS,RENDAH
"saya harap fasilitas kampus lebih ditingkatkan seperti ada furniture di setiap tangga karna sedikit membosankan, lalu harapan saya stikom bisa lebih cepat berubah menjadk univ USB terima kasih",FASILITAS,RENDAH
Ya lebih tingkatkan lagi yang masih kurang,LAINNYA,SEDANG
semoga semakin meningkat,LAINNYA,RENDAH
semoga makin sukses,LAINNYA,RENDAH
Lebih bagus lagi semangat,LAINNYA,RENDAH
Untuk kedepannya mungkin bisa di kembangkan lagi sistemnya,LAINNYA,RENDAH
"Peningkatan Layanan Mahasiswa: Memperbaiki sistem layanan mahasiswa agar lebih responsif dan cepat, terutama dalam hal penanganan keluhan dan permintaan informasi. Kolaborasi dengan Industri: Menjalin lebih banyak kerja sama dengan industri untuk program magang, kuliah tamu, dan penelitian bersama, sehingga mahasiswa mendapatkan pengalaman praktis yang lebih banyak. Pengembangan Infrastruktur Digital: Meningkatkan infrastruktur digital, termasuk aksesibilitas sistem informasi e-learning, SION, dan e-library agar lebih mudah diakses dan digunakan oleh mahasiswa. Fasilitas Kesejahteraan Mahasiswa: Memperbaiki dan menambah fasilitas kesejahteraan mahasiswa, seperti kantin, tempat ibadah, dan fasilitas untuk difabel, sehingga semua mahasiswa merasa nyaman dan didukung. Pelatihan Dosen: Memberikan pelatihan berkala kepada dosen tentang metode pengajaran terbaru dan teknologi pendidikan, agar kualitas pengajaran terus meningkat.",FASILITAS,RENDAH
"Beberapa harapan yang dapat diusulkan meliputi pengembangan lebih lanjut dalam kurikulum berbasis teknologi terkini, serta peningkatan kerja sama dengan industri lokal dan internasional untuk memperluas peluang magang dan pekerjaan bagi mahasiswa.",KEUANGAN,TINGGI
tetap pertahankan kinerja yang sudah cukup baik sejauh ini,LAINNYA,RENDAH
Semoga makin berkembang lagi,LAINNYA,RENDAH
kurang tau karena saya maba,LAINNYA,SEDANG
Lebih jelas dalam memberikan informasi karena terkadang sering ketinggalan informasi,LAINNYA,RENDAH
Agar fasilitas parkiran dan kantin di perbaiki dan aturan no smooking lebih tegas lagi,FASILITAS,RENDAH
Semog dosen lebih rajin datang,AKADEMIK,RENDAH
semoga semakin bagus lagi,LAINNYA,RENDAH
Saya harap agar meja-meja yang sudah lama diperbarui,FASILITAS,RENDAH
"Penguatan Kolaborasi dengan Industri dan Pemerintah: STIKOM Bali dapat memperluas kemitraannya dengan lebih banyak perusahaan, baik lokal maupun internasional, serta dengan instansi pemerintah. Kerja sama ini dapat mencakup program magang, penelitian bersama, dan pengembangan produk teknologi yang bermanfaat bagi masyarakat. Hal ini akan memberikan mahasiswa kesempatan yang lebih luas untuk mendapatkan pengalaman langsung serta memperkuat koneksi industri yang dapat membantu kelancaran karir lulusan.",JARINGAN_IT,TINGGI
"Semoga pegawainya lebih ramah, serta fasilitas pembelajarannya bisa ditambah",FASILITAS,RENDAH
"harapan saya agar STIKOM Bali meningkatkan fasilitas, seperti menambah laboratorium dengan teknologi terkini atau memperbaharui perangkat keras dan lunak agar mahasiswa bisa mengikuti perkembangan teknologi terbaru",FASILITAS,RENDAH
semakin menambah fasilitas untuk menunjang segala aktivitas,FASILITAS,RENDAH
harpan saya semoga menjadi kampus yang lebih maju dalam mengembangkan teknologi dan terkenal di kaca international,FASILITAS,RENDAH
"Harapan saya untuk meningkatkan kinerja STIKOM BALI yaitu: Pengembangan Sumber Daya Manusia yakni Meningkatkan program pelatihan dan sertifikasi bagi dosen dan staf untuk memperkuat kompetensi di bidang teknologi terkini, seperti cloud computing dan SEO dan juga Peningkatan Sarana dan Prasarana kampus untuk mendukung proses belajar mengajar yang lebih baik.",AKADEMIK,RENDAH
"meningkatkan fasilitas akademik, melakukan kerjasama dengan industri yang terpercaya supaya mahasiswa mendapatkan peluuang besar untuk melakukan kegiatan magang, atau kesempatan kerja setelah lulus",FASILITAS,RENDAH
semoga bisa di tingkatkan,LAINNYA,RENDAH
"tingkatkan fasilitas, karna fasilitas STIKOM Renon tidak sepadan dengan biaya semester yang mahasiswa bayar",FASILITAS,RENDAH
Semoga stikom bali kedepan nya lebih meingkat dan lebih jaya,LAINNYA,RENDAH
tidak ada paling ukt dapet diskon,KEUANGAN,RENDAH
tolong tempat duduk di perpustakaan di buat agak jauh sedikit agar tidak terlalu mepet dengan sebelahnya,LAINNYA,RENDAH
Meningkatkan kinerja segala pelayanannya,LAINNYA,RENDAH
Harapannya yang terbaik,LAINNYA,RENDAH
selalu menjadi terbaik,LAINNYA,RENDAH
Semoga kedepannya bisa lebih baik,LAINNYA,RENDAH
semoga sarana dan prasara toilet segera diperbaiki dan di lengkapi,FASILITAS,RENDAH
apa yang sudah ada makin ditingkatkan,LAINNYA,RENDAH
lebih ditingkatkan fasilitas publik seperti parkiran dan kebersihan toilet,FASILITAS,RENDAH
harapan saya terus ditingkatkan terkait fasilitas pembelajaran,FASILITAS,RENDAH
Lebih meningkatkan infra struktur yang dimana mahasiswa ada temapt untuk mengerjakan tugas dikampus,KEUANGAN,RENDAH
semoga bisa lebih baik dari tahun ini,LAINNYA,RENDAH
harapannya lebih mengembangkan kegiatan ukm yang mengikuti perkembangan zaman,KEMAHASISWAAN,RENDAH
Harapannya semoga kedepannya itb stikom bali semakin bagus,LAINNYA,RENDAH
untuk sekarang sudah memenuhi harapan yang diharapkan. semoga dapat dipertahankan atau meningkat menjadi lebih baik,LAINNYA,RENDAH
"Harapan saya, semoga kedepanya lebih ditingkatkan lagi dari segi pelayanan dan penanganan keluhan. Hal ini akan memberikan rasa nyaman dan kami akan merasa di hargai ketika saran dan keluhan kami ditindaklanjuti segera.",LAINNYA,RENDAH
"Mohon Bantuannya Agar Saya Bisa Cepat Lulus, Terima Kasih.",LAINNYA,RENDAH
alat proyektor lebih di bagusin lagi,FASILITAS,RENDAH
"Harapan saya, untuk kedepannya dapat ditingkatkan lagi.",LAINNYA,RENDAH
"Harapan saya semoga stikom menjadi lebih baik,",LAINNYA,RENDAH
"semoga kedepannya STIKOM Bali lebih memperhatikan kinerja bagian kepengurusan mahasiswa karena beberapa masalah yang di alami mahasiswa kadang kurang antusisasnya bantuan dari pengurus tersebut. misalnya pada bagian akademi renon, jika di chat melalui wa butuh waktu yang lama di respon oleh akademik tersebut. berbeda dengan akademik jimbaran yang selalu cepat merespon setiap chat wa dari mahasiswa sehingga masalah mahasiswa cepat di bantu dengan baik sesuai prosedur yang ada",AKADEMIK,SEDANG
semoga Stikom tetap jaya,LAINNYA,RENDAH
"Harapannya mungkin stikom bisa memperluas tempat parkir, karena saya sering tidak mendapatkan tempat parkir",FASILITAS,TINGGI
"harapan yg dapat saya usulkan untukmeningkatkan kinerja stikom baliyaitu pada peningkatan fasilitas dan infrastruktur pada parkir, karena pda siang hari mahasiswa sering kekurang parkir, sehingga parkir diluar basement",FASILITAS,SEDANG
dalam bagian keuangan harus cepat menggapi dalam keluhan mahasiswa,KEUANGAN,RENDAH
Memperluas basement,FASILITAS,TINGGI
"Dibeberapa kelas terdapat AC yang mati, mohon diperbaiki secepatnya karena mempengaruhi kenyamanan saat kegiatan belajar mengajar, liftnya juga diperbaiki secepatnya. Ada beberapa dosen yang memasukkan kehadiran yang salah di SION, semoga lebih ditingkatkan lagi.",FASILITAS,TINGGI
Menghapus sistem skripsi dan menggantikan nya dengan projek,AKADEMIK,RENDAH
Semoga parkiran kampus bisa diperluas,FASILITAS,TINGGI
"dari yang dapat saya usulkan adalah Memperbarui kurikulum secara berkala agar sesuai dengan perkembangan teknologi dan industri. dan Menyediakan infrastruktur IT yang memadai, seperti komputer, jaringan internet, dan software yang terbaru. itu saja yang dapat saya usulkan untuk kinerja STIKOM Bali",JARINGAN_IT,RENDAH
Semoga lebih baik lagi kedepannya dan semakin canggih dan modern,LAINNYA,RENDAH
harapan kedepan agar stikom lebih sukses dan berkembang,LAINNYA,RENDAH
Semoga stikom ke depannya lebih baik lagi,LAINNYA,RENDAH
mungkin di sini program luar negerinya lebih dibanyakin tapi yang gratis terus juga dapat Besiswa dan itu pun tidak disusahkan ya syaratnya,LAINNYA,SEDANG
Peningkatan kolaborasi dengan industri,LAINNYA,RENDAH
Mempertahankan fasilitas dan kinerja dosen,FASILITAS,RENDAH
meningkatkan lagi fasilitas,FASILITAS,RENDAH
Harapan saya adalah lebih ditingkatkan lagi kualitas dosen pengajar,AKADEMIK,RENDAH
"MOHON LEBIH MEMPERHATIKAN MAHASISWA. KAMI SUDAH BAYAR MAHAL TAPI HANYA MENDAPAT KELAS ONLINE. TOLONG BUAT KERJASAMA DENGAN PIHAK KE TIGA DALAM PENYEWAAN GEDUNG UNTUK MENAMBAH JUMLAH KELAS. TOLONG JUGA LAHAN PARKIRNYA DILUASKAN YA, SAYA KESUSAHAN MEMARKIRKAN MOTOR KARNA TERLALU SEMPIT JUGA KEAMANAN DI BASEMENT TOLONG DITINGKATKAN. MASAK ADA KEJADIAN KEHILANGAN HELM DI PARKIRAN KAMPUS? GA MASUK AKAL. ITU SAJA TERIMA KASIH.",FASILITAS,TINGGI
Semoga kedepannya selalu membantu mahasiswa dengan baik,LAINNYA,RENDAH
agar dipertahankan,LAINNYA,RENDAH
harapan saya semoga fasilitas dan toilet bisa lebih baik lagi,FASILITAS,RENDAH
semoga tempat parkir dan kantin diperluas,FASILITAS,TINGGI
lebih maju dan sukses,LAINNYA,RENDAH
Harapannya semoga bisa lebih cepat dalam memberikan tanggapan agar bisa lebih baik lagi.,LAINNYA,RENDAH
semakin maju semakin kreatif,LAINNYA,RENDAH
Dapat memproses sesuatu dengan lbh cepat,LAINNYA,RENDAH
Semoga kedepannya banyak perkembangan nyata lebih besar lagi untuk fasilitas dan layanan terhadap mahasiswa tentunya agar siswa lebih nyaman terhadap semua hasil kinerja di STIKOM Bali,FASILITAS,RENDAH
"Semoga kedepannya makin baik dan dapat membuat lulusan terbaik, dan memperluas parkir serta me renovasi toilet",FASILITAS,TINGGI
"Visibilitas dan pemberitahuan informasi dari kampus hanya bisa dilihat melalui Sion, yang terkadang tidak memberikan notifikasi adanya informasi baru terkait perkuliahan",LAINNYA,RENDAH
semoga kedepannya semakin baik dan terus berkembang,LAINNYA,RENDAH
ditingkatkan lagi agar semakin baik pelayanannya untuk civitas mahasiswa,LAINNYA,RENDAH
"Semoga untuk toilet, kantin, tempat parkir dan tempat ibadah dapat diperbaiki agar semua mahasiswa dapat menggunakannya dengan nyaman dan aman",FASILITAS,RENDAH
harapan saya semoga kursi kelas bisa dotanti deng an lebih baik,FASILITAS,RENDAH
Kedepannya semakin baik lagi,LAINNYA,RENDAH
Meningkatkan kualitas fasilitas kampus,FASILITAS,RENDAH
Lebih banyak praktek,AKADEMIK,RENDAH
saya berharap fasilitas kampus makin baik,FASILITAS,RENDAH
"Follow up / respon puskom agar lebih cepat tanggap menangani keluhan atau request mahasiswa, karyawan FO lebih welcome lagi.",LAINNYA,RENDAH
Harapan saya semoga kedepannya stikom lebih baik,LAINNYA,RENDAH
sebaiknya di tingkatkan lagi informasi yang akan di sebarkan ke mahasiswa agar tidak ada miskom satu sama lain,LAINNYA,RENDAH
perbaiki layanan website KRS,AKADEMIK,RENDAH
"Menyempurnakan kurikulum dengan memasukkan mata kuliah yang lebih relevan dengan perkembangan teknologi terkini seperti kecerdasan buatan (AI), data science, blockchain, dan cybersecurity. Hal ini akan memastikan bahwa lulusan STIKOM Bali memiliki keterampilan yang dibutuhkan oleh industri.",LAINNYA,TINGGI
pertahankan agar tetap baik,LAINNYA,RENDAH
semoga lebih menanggapi aspirasi mahasiswa.,LAINNYA,RENDAH
Semoga kedepannya lebih baik,LAINNYA,RENDAH
"Menurut saya, informasi mengenai informasi fasilitas yang disediakan oleh stikom sangat susah dicari tau. Contoh kecilnya, banyak mahasiswa yang tidak mengetahui adanya sistem e-library. Harapan saya, aksesibilitas terhadap informasi tersebut dapat ditingkatkan, entah dengan cara perbanyak announcing, announcing dilakukan di beberapa media (sion, IG, dan media lainnya) ataupun dengan cara-cara lain yang bisa membantu mahasiswa reach out informasi tersebut",FASILITAS,SEDANG
Tolong disediakan wifi lebih banyak diarea kampus,JARINGAN_IT,RENDAH
Semoga lebih baik lagi.,LAINNYA,RENDAH
semoga setiap harinya selalu membaik,LAINNYA,RENDAH
semoga bisa lebih maju dan berkualitas dan menjadi kampus it terbaik,LAINNYA,RENDAH
meningkatkan lagi kecepatan respon dalam memberikan informasi,LAINNYA,RENDAH
penambahan gedung kampus,FASILITAS,RENDAH
diperluas lagi kampusnya,LAINNYA,TINGGI
kedepannya mungkin bisa ditambahkan untuk sarana dan pra sarana yang kurang,LAINNYA,SEDANG
fasilitas meningkat,FASILITAS,RENDAH
semoga kinerja stikom bali akan lebih baik lagi,LAINNYA,RENDAH
Semoga kebersihan toilet dan ukuran gedung stikom makin bagus dan meningkat efisien,FASILITAS,RENDAH
Meningkatkan jenis fasilitas kampus,FASILITAS,RENDAH
